ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
0.019043,-0.266113,0.943848,5.06592,-1.77002,35.7056,-107,306,-661,0.939331,2.34009,-25.318,0.933105,0.0078125,-0.302246,17.2729,7.14111,-31.311,-92,-157,343,136.126,-70.3894,110.116,0.920898,-0.165527,-0.0991211,-1.70898,-19.4092,-26.9165,-315,31,257,-132.034,-80.5298,40.0287,
0.0175781,-0.177734,0.957031,6.22559,-2.92969,38.5132,-108,306,-661,0.939331,2.31812,-25.0323,0.930176,0.0957031,-0.307617,15.3809,8.78906,-37.4756,-93,-157,344,135.615,-70.2356,110.825,0.932129,-0.144043,-0.10498,-1.52588,-21.1792,-29.7852,-314,32,258,-135.038,-80.6122,43.0115,
0.0161133,-0.102539,0.964355,6.40869,-3.35693,41.626,-108,306,-661,0.933838,2.26318,-24.5544,0.928711,0.158691,-0.291992,13.2446,11.1694,-42.7856,-91,-159,343,134.604,-69.939,112.132,0.950684,-0.128906,-0.116211,-0.976562,-22.7661,-33.6304,-313,29,259,-138.527,-80.6891,46.5161,
0.0449219,-0.019043,0.992676,7.01904,-4.39453,43.2739,-108,306,-661,0.939331,2.19727,-24.0216,0.924805,0.197754,-0.286621,10.7422,13.0615,-45.105,-91,-160,342,133.314,-69.5984,113.703,0.963379,-0.115723,-0.126465,-0.305176,-23.2544,-36.8042,-313,28,262,-142.377,-80.755,50.3998,
0.0209961,0.0673828,1.01758,4.88281,-3.78418,43.7622,-109,307,-661,0.955811,2.12036,-23.4393,0.926758,0.275391,-0.279785,9.39941,14.1602,-46.3257,-92,-162,343,131.874,-69.2194,115.406,0.984863,-0.102539,-0.123535,1.89209,-22.8882,-38.4521,-312,27,263,-146.404,-80.8044,54.4867,
0.0405273,0.160645,1.04395,2.62451,-4.88281,41.3818,-109,309,-660,0.944824,2.03247,-22.8351,0.93457,0.367188,-0.259277,8.48389,15.4419,-45.8374,-91,-163,346,130.347,-68.8129,117.208,1.00732,-0.0800781,-0.146973,4.88281,-21.1792,-37.5366,-310,26,265,-149.09,-80.8209,57.2443,
0.0170898,0.265625,1.07568,-1.28174,-4.02832,39.1235,-109,310,-660,0.911865,1.93909,-22.2363,0.934082,0.490723,-0.233887,7.8125,15.686,-41.1987,-90,-166,346,129.326,-68.5437,118.411,1.02979,-0.0698242,-0.16748,9.46045,-19.4092,-35.1562,-309,24,263,-152.946,-80.8154,61.2653,
-0.00488281,0.362793,1.12305,-3.60107,-4.45557,31.6772,-110,311,-660,0.862427,1.8512,-21.709,0.917969,0.615723,-0.212402,7.20215,14.4043,-34.8511,-88,-169,346,127.842,-68.1482,120.174,1.03955,-0.0820312,-0.187988,11.2915,-16.2354,-31.7383,-309,23,265,-156.324,-80.777,64.8633,
-0.0419922,0.481445,1.15479,-2.50244,-4.21143,23.2544,-111,313,-660,0.834961,1.78528,-21.4178,0.907227,0.723145,-0.174316,5.67627,11.3525,-24.4751,-87,-168,345,126.513,-67.7911,121.772,1.0376,-0.0161133,-0.197266,12.6953,-9.76562,-23.6206,-309,21,266,-158.879,-80.744,67.6538,
-0.0366211,0.536133,1.17285,-1.83105,-4.27246,12.5122,-111,312,-659,0.834961,1.69189,-21.0883,0.922852,0.789062,-0.115723,7.26318,9.76562,-15.9302,-88,-168,344,125.453,-67.5275,123.085,1.08545,0.106445,-0.204102,9.8877,-2.80762,-15.8691,-311,21,266,-160.856,-80.777,69.939,
